Combination,Scale,Notch,Artifact_Filter,Burst_Filter,Model,Test_Recall,Train_Recall,Train_Test_Delta,Test_N,Diff_from_Baseline,Compared_To,Delta,Wilcoxon_p,Significant
Intra|NoNotch|NoArt|NoBurst|EI,Intra,NoNotch,NoArt,NoBurst,EI,0.5576774329562972,0.5536029961818505,-0.004074436774446744,3259.6,1,Intra|Notch|NoArt|NoBurst|EI,0.004759044933450807,0.7533040472859123,ns
Intra|NoNotch|NoArt|NoBurst|LR,Intra,NoNotch,NoArt,NoBurst,LR,0.47095797201863027,0.8270823641930879,0.3561243921744576,3259.6,2,Intra|NoNotch|NoArt|NoBurst|EI,-0.08671946093766697,0.03933870792388916,SIG
Intra|NoNotch|NoArt|NoBurst|LR,Intra,NoNotch,NoArt,NoBurst,LR,0.47095797201863027,0.8270823641930879,0.3561243921744576,3259.6,2,Intra|Notch|NoArt|NoBurst|LR,0.0009120337761704955,1.0,ns
Intra|NoNotch|NoArt|NoBurst|RF,Intra,NoNotch,NoArt,NoBurst,RF,0.4583385545489475,0.7669407967947031,0.30860224224575555,3259.6,2,Intra|NoNotch|NoArt|NoBurst|EI,-0.09933887840734973,0.03180783987045288,SIG
Intra|NoNotch|NoArt|NoBurst|RF,Intra,NoNotch,NoArt,NoBurst,RF,0.4583385545489475,0.7669407967947031,0.30860224224575555,3259.6,2,Intra|Notch|NoArt|NoBurst|RF,-0.004867548132696742,0.312333345413208,ns
Intra|Notch|NoArt|NoBurst|EI,Intra,Notch,NoArt,NoBurst,EI,0.5529183880228464,0.5501745802929453,-0.0027438077299011265,3259.6,0,,,,
Intra|Notch|NoArt|NoBurst|LR,Intra,Notch,NoArt,NoBurst,LR,0.47004593824245977,0.8305636774279922,0.3605177391855324,3259.6,1,Intra|Notch|NoArt|NoBurst|EI,-0.08287244978038666,0.06670159101486206,ns
Intra|Notch|NoArt|NoBurst|RF,Intra,Notch,NoArt,NoBurst,RF,0.46320610268164425,0.7677438035541065,0.3045377008724623,3259.6,1,Intra|Notch|NoArt|NoBurst|EI,-0.08971228534120218,0.0626264214515686,ns
Intra|Notch|Art|NoBurst|EI,Intra,Notch,Art,NoBurst,EI,0.5577105669370993,0.5576029590727248,-0.00010760786437447045,2510.0,1,Intra|Notch|NoArt|NoBurst|EI,0.004792178914252876,0.9578450322151184,ns
Intra|Notch|Art|NoBurst|LR,Intra,Notch,Art,NoBurst,LR,0.47265913412011434,0.8659380542258788,0.39327892010576443,2510.0,2,Intra|Notch|NoArt|NoBurst|LR,0.0026131958776545727,0.15633821487426758,ns
Intra|Notch|Art|NoBurst|LR,Intra,Notch,Art,NoBurst,LR,0.47265913412011434,0.8659380542258788,0.39327892010576443,2510.0,2,Intra|Notch|Art|NoBurst|EI,-0.08505143281698496,0.04826241731643677,SIG
Intra|Notch|Art|NoBurst|RF,Intra,Notch,Art,NoBurst,RF,0.4573528448459253,0.7902954562297824,0.33294261138385706,2510.0,2,Intra|Notch|NoArt|NoBurst|RF,-0.005853257835718939,0.21998637914657593,ns
Intra|Notch|Art|NoBurst|RF,Intra,Notch,Art,NoBurst,RF,0.4573528448459253,0.7902954562297824,0.33294261138385706,2510.0,2,Intra|Notch|Art|NoBurst|EI,-0.100357722091174,0.036682069301605225,SIG
Intra|Notch|NoArt|Burst|EI,Intra,Notch,NoArt,Burst,EI,0.5529183880228464,0.5501745802929453,-0.0027438077299011265,3259.6,1,Intra|Notch|NoArt|NoBurst|EI,0.0,,ns
Intra|Notch|NoArt|Burst|LR,Intra,Notch,NoArt,Burst,LR,0.47004593824245977,0.8305636774279922,0.3605177391855324,3259.6,2,Intra|Notch|NoArt|NoBurst|LR,0.0,,ns
Intra|Notch|NoArt|Burst|LR,Intra,Notch,NoArt,Burst,LR,0.47004593824245977,0.8305636774279922,0.3605177391855324,3259.6,2,Intra|Notch|NoArt|Burst|EI,-0.08287244978038666,0.06670159101486206,ns
Intra|Notch|NoArt|Burst|RF,Intra,Notch,NoArt,Burst,RF,0.46320610268164425,0.7677438035541065,0.3045377008724623,3259.6,2,Intra|Notch|NoArt|NoBurst|RF,0.0,,ns
Intra|Notch|NoArt|Burst|RF,Intra,Notch,NoArt,Burst,RF,0.46320610268164425,0.7677438035541065,0.3045377008724623,3259.6,2,Intra|Notch|NoArt|Burst|EI,-0.08971228534120218,0.0626264214515686,ns
Intra|Notch|Art|Burst|EI,Intra,Notch,Art,Burst,EI,0.5577105669370993,0.5576029590727248,-0.00010760786437447045,2510.0,2,Intra|Notch|Art|NoBurst|EI,0.0,,ns
Intra|Notch|Art|Burst|EI,Intra,Notch,Art,Burst,EI,0.5577105669370993,0.5576029590727248,-0.00010760786437447045,2510.0,2,Intra|Notch|NoArt|Burst|EI,0.004792178914252876,0.9578450322151184,ns
Intra|Notch|Art|Burst|LR,Intra,Notch,Art,Burst,LR,0.47265913412011434,0.8659380542258788,0.39327892010576443,2510.0,3,Intra|Notch|Art|NoBurst|LR,0.0,,ns
Intra|Notch|Art|Burst|LR,Intra,Notch,Art,Burst,LR,0.47265913412011434,0.8659380542258788,0.39327892010576443,2510.0,3,Intra|Notch|NoArt|Burst|LR,0.0026131958776545727,0.15633821487426758,ns
